,id,lat,long
0,3796,30.287673,-97.742861
1,371,30.276309,-97.760494
2,4872,30.587911,-97.657458
3,4562,30.432049,-97.776088
4,3646,30.317184,-97.745801
5,1476,29.812963,-98.00256
6,4790,30.60465,-97.816167
7,5403,30.531572,-97.61362
8,6962,30.502214,-97.710816
9,4736,30.448693,-97.789883
10,2107,30.042635,-97.884639
11,2943,30.170108,-97.768355
12,5085,30.418142,-97.689735
13,3506,30.291598,-97.713213
14,167,30.453141,-97.704426
15,2112,30.019116,-97.899698
16,4398,30.361855,-97.709533
17,1002,30.509986,-97.55816
18,529,30.182413,-97.772149
19,1846,29.884842,-97.943001
20,6105,30.516128,-97.869258
21,3431,30.232548,-97.698222
22,2740,30.121538,-97.667553
23,7349,30.40432,-97.847379
24,5226,30.534246,-97.689735
25,2284,30.359059,-97.954035
26,1906,29.888282,-97.941299
27,3841,30.283987,-97.720979
28,1455,29.813421,-97.967589
29,2364,30.256776,-97.893795
30,4069,30.368429,-97.717663
31,6656,30.455006,-97.720594
32,3939,30.394171,-97.745969
33,4643,30.492385,-97.979233
34,2409,30.169231,-97.825103
35,4067,30.360706,-97.723791
36,935,30.678669,-97.678827
37,4766,30.489395,-97.808611
38,4453,30.358571,-97.670468
39,568,30.556527,-97.784048
40,3135,30.259477,-97.748904
41,5336,30.633116,-97.671605
42,6254,30.491305,-97.772763
43,4584,30.714424,-97.766509
44,3723,30.308504,-97.757933
45,1743,30.044544,-97.794242
46,3745,30.321342,-97.755108
47,2076,30.035577,-97.844714
48,7291,30.449558,-97.72133
49,5390,30.460635,-97.619484
50,5598,30.232037,-97.492005
51,2114,30.029776,-97.848174
52,5152,30.504396,-97.680181
53,1763,30.187451,-97.780446
54,2337,30.157165,-97.859768
55,4886,30.539912,-97.562729
56,3214,30.232527,-97.737741
57,5039,30.443377,-97.696676
58,4710,30.460829,-97.794397
59,4867,30.549294,-97.675269
60,6768,30.089875,-97.731838
61,1753,30.140648,-97.567176
62,3029,30.227688,-97.745702
63,4689,30.419433,-97.801209
64,2026,29.993397,-97.880581
65,1741,30.392306,-97.777798
66,1060,30.491587,-97.764424
67,2446,30.199384,-97.805942
68,1678,29.879275,-97.918292
69,6664,30.414132,-97.630988
70,4444,30.392076,-97.707934
71,1783,30.143977,-97.69652
72,6706,30.342613,-97.967036
73,6805,29.841924,-97.983427
74,1630,29.874456,-97.934677
75,3059,30.243776,-97.764056
76,4470,30.393151,-97.653868
77,3038,30.244603,-97.730201
78,6989,30.480331,-97.552125
79,264,30.340669,-97.709102
80,2030,29.990351,-97.888739
81,2712,30.089301,-97.693484
82,3306,30.268034,-97.739711
83,2624,30.389427,-97.882163
84,7398,30.335858,-97.695711
85,2051,30.009416,-97.862153
86,3541,30.369203,-97.710381
87,926,30.516189,-97.819854
88,4024,30.359475,-97.721065
89,6579,30.179085,-97.840814
90,2873,30.25478,-97.718293
91,1719,30.166859,-97.784401
92,4232,30.308811,-97.711673
93,6108,30.48711,-97.83847
94,2123,30.095573,-97.891498
95,6828,30.59435,-97.595796
96,512,30.204494,-97.787716
97,17,30.320471,-97.972406
98,4266,30.326825,-97.687624
99,4565,30.4565,-97.776623
100,5182,30.48345,-97.700989
101,1382,30.256388,-98.109119
102,1765,30.194254,-97.78212
103,3366,30.255577,-97.720672
104,2309,30.215206,-97.797393
105,1044,30.521169,-97.847519
106,6660,30.481878,-97.790151
107,5449,30.547028,-97.630406
108,1441,29.818343,-97.996504
109,5333,30.63302,-97.677713
110,7319,30.105148,-97.76634
111,3115,30.234048,-97.757043
112,6604,30.513432,-97.813313
113,330,30.307788,-97.737685
114,820,30.093477,-97.86188
115,4568,30.507764,-97.775032
116,5080,30.420687,-97.704598
117,5591,30.825423,-97.605615
118,6559,30.534433,-97.78209
119,1623,29.857033,-97.93933
120,1419,30.192514,-98.064321
121,4627,30.449426,-97.904401
122,4297,30.329668,-97.706496
123,1218,30.589415,-97.53659
124,3879,30.320888,-97.729076
125,5744,30.56778,-97.425581
126,1278,29.883846,-97.94376
127,3365,30.256858,-97.724363
128,2244,30.221726,-97.955777
129,2720,30.066423,-97.732168
130,2533,30.230378,-97.788003
131,5385,30.426126,-97.615762
132,4342,30.325919,-97.674575
133,1051,30.489708,-97.655412
134,3199,30.214656,-97.734
135,4986,30.435768,-97.770246
136,117,30.480535,-97.811989
137,4604,30.673487,-97.701638
138,7301,30.245677,-97.768647
139,3170,30.275697,-97.747864
140,6767,30.088953,-97.734376
141,2449,30.182928,-97.786171
142,260,30.351559,-97.727219
143,3435,30.22465,-97.703324
144,3427,30.223094,-97.69961
145,941,30.84433,-97.792283
146,942,30.83935,-97.791475
147,1503,29.828578,-97.941912
148,1787,30.153831,-97.639306
149,2072,29.964911,-97.794449
150,3369,30.257768,-97.723926
151,747,30.22956,-98.135289
152,4892,30.54647,-97.613963
153,7392,29.884441,-97.937011
154,2405,30.18864,-97.828925
155,4474,30.400589,-97.676574
156,2987,30.166247,-97.736779
157,2432,30.149732,-97.793656
158,4874,30.572768,-97.649867
159,5401,30.507073,-97.613313
160,4934,30.476019,-97.705779
161,1668,29.882965,-97.940445
162,1542,29.839462,-97.971821
163,5228,30.483475,-97.660407
164,3632,30.321965,-97.744307
165,6765,30.101144,-97.759866
166,6229,30.443483,-97.742458
167,1526,29.879629,-97.94301
168,3596,30.389892,-97.716913
169,2,30.595955,-97.873341
170,602,30.145593,-97.817215
171,2140,30.058509,-97.803453
172,3464,30.273317,-97.697651
173,2034,29.968051,-97.874544
174,3580,30.349585,-97.657745
175,215,30.394219,-97.74096
176,2922,30.184813,-97.756169
177,2365,30.257265,-97.88907
178,3971,30.375775,-97.732937
179,148,30.482178,-97.683939
180,6712,30.09504,-97.922736
181,118,30.471692,-97.806242
182,3397,30.157627,-97.665818
183,1928,29.886585,-97.924278
184,5406,30.491332,-97.645052
185,4406,30.362796,-97.696762
186,3790,30.294173,-97.737196
187,364,30.302516,-97.818543
188,7111,30.539922,-97.793478
189,6623,30.558551,-97.60942
190,4764,30.532673,-97.835079
191,6561,30.304988,-97.934953
192,3608,30.328185,-97.712913
193,6201,30.382833,-97.771188
194,5511,30.702941,-97.69005
195,6382,30.157334,-97.729342
196,6493,30.373892,-97.397909
197,7208,30.82,-97.856489
198,3338,30.274555,-97.743757
199,6638,30.494898,-97.497682
200,4835,30.828112,-97.809675
201,3604,30.366433,-97.711165
202,2554,30.238041,-97.798967
203,2452,30.183114,-97.781832
204,5413,30.447385,-97.535671
205,4659,30.475362,-97.809721
206,3716,30.300811,-97.752902
207,2461,30.22805,-97.809223
208,1899,29.890831,-97.940999
209,1042,30.511753,-97.834159
210,4560,30.682241,-97.893854
211,2992,30.193114,-97.738624
212,5565,30.772593,-97.62822
213,2450,30.191804,-97.783996
214,1658,29.88177,-97.939579
215,5730,30.583532,-97.41949
216,6459,30.349871,-97.519563
217,3702,30.283513,-97.751976
218,2501,30.220703,-97.836875
219,2936,30.170586,-97.752905
220,3152,30.27369,-97.765701
221,278,30.328946,-97.720367
222,5086,30.416261,-97.691191
223,137,30.512392,-97.675429
224,107,30.627603,-97.663039
225,4393,30.3734,-97.663247
226,377,30.274993,-97.740269
227,180,30.426198,-97.80419
228,2053,30.013012,-97.861302
229,2747,30.120507,-97.634975
230,7127,30.759316,-97.603915
231,4820,30.726002,-97.875969
232,3732,30.329313,-97.752634
233,5129,30.455969,-97.664981
234,2088,30.078846,-97.843981
235,5777,30.583139,-97.410716
236,3315,30.269824,-97.735483
237,3691,30.285678,-97.774847
238,505,30.211461,-97.808543
239,7057,30.858854,-97.74559
240,3388,30.273843,-97.717525
241,4409,30.366606,-97.700189
242,1860,29.900516,-97.958233
243,1869,29.889994,-97.95523
244,5109,30.459963,-97.69458
245,894,29.867991,-97.937213
246,1390,30.189269,-98.102602
247,2547,30.217546,-97.801713
248,1923,29.892317,-97.921909
249,4869,30.543529,-97.649715
250,4882,30.546351,-97.620211
251,6583,30.507056,-97.714996
252,5411,30.428613,-97.549755
253,2882,30.172365,-97.700983
254,2938,30.179624,-97.75661
255,1830,30.028376,-97.926097
256,3928,30.333912,-97.716883
257,161,30.452107,-97.799555
258,7028,30.207641,-97.974465
259,4496,30.342829,-97.615454
260,3164,30.26872,-97.749576
261,460,30.268739,-97.812312
262,3731,30.342096,-97.761648
263,1991,29.894185,-97.900996
264,6003,30.259098,-97.613629
265,1209,30.405153,-97.499596
266,2666,30.333169,-97.792225
267,3692,30.290384,-97.771784
268,1714,30.149231,-97.79128
269,2134,30.058252,-97.821052
270,7068,30.656798,-97.958937
271,3118,30.24062,-97.756728
272,409,30.256691,-97.729877
273,86,30.206238,-97.845563
274,6030,30.167549,-97.630971
275,3363,30.271514,-97.737172
276,4302,30.33049,-97.706508
277,229,30.369183,-97.77245
278,5828,30.718913,-97.428033
279,5143,30.511488,-97.694738
280,2459,30.209203,-97.784479
281,1769,30.211058,-97.778963
282,709,29.881815,-97.932862
283,1919,29.892288,-97.922507
284,4428,30.367433,-97.706184
285,2310,30.213555,-97.794039
286,934,30.658855,-97.849323
287,494,30.211973,-97.741725
288,1137,30.236316,-97.520151
289,5017,30.511624,-97.766834
290,2125,30.124805,-97.862555
291,4494,30.255091,-97.555928
292,1217,30.493528,-97.493465
293,6928,30.2884,-97.577407
294,3323,30.266163,-97.736837
295,2500,30.219835,-97.836259
296,1937,30.12097,-97.966499
297,3466,30.251261,-97.699488
298,422,30.261117,-97.705899
299,1540,29.882041,-97.945704
300,3937,30.392821,-97.746882
301,2092,30.07893,-97.823356
302,4054,30.349569,-97.722736
303,5755,30.584765,-97.426844
304,4724,30.451705,-97.809791
305,2246,30.167389,-98.008567
306,5416,30.409512,-97.5607
307,5579,30.820547,-97.609062
308,1393,30.205308,-98.133052
309,5337,30.640308,-97.671928
310,1689,29.869256,-97.89591
311,237,30.362717,-97.703016
312,75,30.222138,-97.883969
313,6449,30.348954,-97.559336
314,7304,30.201092,-97.801208
315,3733,30.324755,-97.750368
316,6748,30.31743,-97.949739
317,7228,30.678939,-97.858493
318,175,30.429712,-97.632319
319,4948,30.479098,-97.659128
320,2239,30.208494,-97.972777
321,2396,30.172747,-97.785005
322,2521,30.232107,-97.800515
323,104,30.579994,-97.799189
324,3479,30.267629,-97.707248
325,2620,30.377304,-97.884445
326,1903,29.885175,-97.940808
327,2755,30.278347,-97.772898
328,6056,30.09376,-97.680446
329,6128,30.522606,-97.796082
330,1423,30.299922,-98.088865
331,515,30.198303,-97.771828
332,493,30.203546,-97.749497
333,5355,30.607774,-97.685262
334,5569,30.775898,-97.627189
335,4431,30.364905,-97.707672
336,4008,30.361327,-97.745377
337,7267,30.319976,-98.006688
338,3538,30.365308,-97.716682
339,3357,30.273141,-97.734578
340,2545,30.230386,-97.793822
341,241,30.362402,-97.676517
342,6947,30.24218,-97.800894
343,4411,30.35837,-97.688887
344,183,30.432578,-97.745077
345,6023,30.180308,-97.62883
346,4693,30.422111,-97.78731
347,5006,30.482571,-97.743925
348,6144,30.277214,-97.729393
349,193,30.419626,-97.687169
350,145,30.505463,-97.648706
351,5550,30.689383,-97.584807
352,2082,30.057888,-97.844172
353,6513,30.185545,-97.611935
354,1528,29.881903,-97.943378
355,1488,29.83723,-97.989055
356,6000,30.314471,-97.63529
357,3665,30.29079,-97.747289
358,6476,30.351432,-97.474877
359,7214,30.825954,-97.783551
360,1249,30.355722,-98.066735
361,6974,30.225875,-97.840938
362,149,30.488674,-97.669035
363,560,30.371482,-97.546382
364,5276,30.630822,-97.743478
365,4192,30.309821,-97.666935
366,3700,30.289374,-97.756153
367,6361,30.402435,-97.657118
368,3859,30.280088,-97.724897
369,3863,30.286805,-97.725577
370,2373,30.222852,-97.862833
371,4695,30.412155,-97.792001
372,31,30.344763,-97.869942
373,1671,29.883228,-97.938129
374,4887,30.53844,-97.574133
375,4901,30.545279,-97.708038
376,1452,29.846351,-97.979676
377,1626,29.863338,-97.937733
378,2260,30.197962,-97.920828
379,4884,30.545928,-97.60082
380,3689,30.290737,-97.756957
381,429,30.252393,-97.675294
382,6422,30.164116,-97.693067
383,491,30.219174,-97.770121
384,14,30.449261,-97.839977
385,5664,30.459585,-97.394344
386,3655,30.309607,-97.722473
387,2867,30.214518,-97.735299
388,1785,30.145534,-97.673128
389,7184,30.425578,-97.381898
390,3229,30.223308,-97.72218
391,525,30.195468,-97.820597
392,5531,30.85174,-97.745036
393,1536,29.865091,-97.944442
394,5378,30.446089,-97.583206
395,4611,30.835002,-97.790807
396,5502,30.758192,-97.731007
397,1915,29.887415,-97.923324
398,426,30.257898,-97.696217
399,3113,30.215515,-97.752872
400,5151,30.502953,-97.681755
401,1566,29.860948,-97.947894
402,6885,30.488796,-97.630531
403,2677,30.369555,-97.801644
404,290,30.320679,-97.720953
405,1549,29.862841,-97.959953
406,6594,30.468204,-97.699592
407,7051,30.842139,-97.885558
408,1403,30.198168,-98.161836
409,4890,30.520135,-97.544642
410,1265,29.883649,-97.922986
411,1629,29.876948,-97.935627
412,2997,30.190794,-97.744502
413,6722,30.571081,-97.794312
414,3901,30.319328,-97.738731
415,159,30.467254,-97.654187
416,1279,29.885079,-97.941552
417,5949,30.520437,-97.642424
418,4382,30.366673,-97.683664
419,6622,30.561158,-97.607713
420,6362,30.026858,-98.101147
421,3924,30.339042,-97.723383
422,2898,30.21865,-97.717933
423,3458,30.253098,-97.697273
424,6966,30.311282,-98.088111
425,1422,30.246189,-98.047347
426,7035,30.477821,-97.776844
427,5547,30.726256,-97.641778
428,3996,30.391036,-97.759181
429,3341,30.272475,-97.744542
430,48,30.308846,-97.703502
431,1711,30.140553,-97.797024
432,7094,30.571181,-97.843258
433,2871,30.242277,-97.716967
434,3517,30.346991,-97.722446
435,6411,30.651104,-97.644343
436,7042,30.695989,-97.910087
437,4181,30.311489,-97.685023
438,2626,30.283109,-97.810687
439,1826,30.019858,-97.855075
440,6833,30.561905,-97.57868
441,7305,30.173574,-97.81977
442,1653,29.880182,-97.939324
443,2884,30.214782,-97.710248
444,2743,30.106856,-97.694471
445,1656,29.882041,-97.941035
446,3730,30.325279,-97.767106
447,4572,30.590239,-97.804445
448,3230,30.219776,-97.720171
449,6373,30.545679,-97.781167
450,4532,30.362644,-97.629357
451,1755,30.158348,-97.776137
452,6176,30.257784,-97.812577
453,3078,30.223341,-97.763346
454,5261,30.495965,-97.656027
455,2897,30.213517,-97.733596
456,5433,30.605782,-97.637882
457,1652,29.88011,-97.939989
458,7002,30.206592,-97.856013
459,6653,30.499691,-97.762725
460,716,29.886506,-97.942882
461,6119,30.51323,-97.531901
462,7348,30.418653,-97.868632
463,1842,29.900238,-97.982998
464,6425,30.14907,-97.69715
465,7190,30.471719,-97.460888
466,5536,30.733059,-97.611137
467,3903,30.322612,-97.732742
468,6375,30.543386,-97.785364
469,6645,30.312647,-97.537075
470,2691,30.024991,-97.699893
471,2993,30.189512,-97.740932
472,6397,30.149191,-97.846914
473,4517,30.297339,-97.640996
474,6217,30.389365,-97.74582
475,5456,30.643828,-97.615315
476,3568,30.344633,-97.704491
477,6275,30.233325,-97.874662
478,3156,30.258218,-97.749749
479,6418,30.198005,-97.684306
480,4788,30.643704,-97.871143
481,7083,30.596366,-97.812928
482,2675,30.365612,-97.79694
483,5721,30.5734,-97.428283
484,2504,30.237683,-97.823722
485,4509,30.385635,-97.584546
486,3270,30.260661,-97.722589
487,3155,30.254656,-97.751991
488,6687,30.176707,-97.617035
489,3321,30.270216,-97.740084
490,1838,29.925388,-97.947524
491,85,30.214574,-97.836175
492,2506,30.236251,-97.822684
493,322,30.291673,-97.694168
494,230,30.383082,-97.754946
495,4591,30.852156,-97.746004
496,5454,30.636325,-97.628754
497,2232,30.269707,-97.850778
498,2211,30.275312,-97.91381
499,3492,30.269486,-97.692553
500,6427,30.11511,-97.694428
501,3296,30.254915,-97.734552
502,2502,30.217456,-97.834436
503,5447,30.587766,-97.615044
504,1253,29.893214,-97.964866
505,404,30.266418,-97.749402
506,5306,30.558124,-97.69107
507,2468,30.240218,-97.82839
508,5025,30.481985,-97.743634
509,3257,30.259558,-97.723115
510,1136,30.231017,-97.516594
511,4656,30.460705,-97.838284
512,1067,30.600584,-97.804895
513,5277,30.632714,-97.709984
514,3545,30.284126,-97.717617
515,6708,30.401309,-97.602058
516,4679,30.458053,-97.81113
517,5121,30.421066,-97.670517
518,2939,30.180521,-97.76206
519,6423,30.16385,-97.692503
520,1548,29.843249,-97.968908
521,591,29.979146,-97.846817
522,170,30.442247,-97.731102
523,329,30.314075,-97.73437
524,6665,30.430033,-97.619536
525,3457,30.250988,-97.695774
526,192,30.421209,-97.724833
527,5240,30.489776,-97.675302
528,5325,30.632772,-97.699916
529,1907,29.887342,-97.941936
530,6042,30.118382,-97.660733
531,6112,30.514524,-97.803013
532,3133,30.260731,-97.758134
533,6648,30.467055,-97.843518
534,851,30.56515,-97.878483
535,307,30.344399,-97.79414
536,332,30.299796,-97.723839
537,5442,30.551521,-97.614101
538,7333,30.406825,-98.104885
539,1735,30.267535,-97.771498
540,3834,30.292142,-97.722255
541,3126,30.271128,-97.763498
542,1821,30.020791,-97.889466
543,7080,30.618272,-97.852284
544,2455,30.210516,-97.786904
545,5389,30.445824,-97.607502
546,4241,30.323602,-97.693305
547,110,30.522036,-97.803089
548,4310,30.320108,-97.688559
549,3045,30.244364,-97.733628
550,3746,30.319505,-97.750545
551,4824,30.732835,-97.845932
552,5491,30.788401,-97.623542
553,1879,29.891716,-97.926737
554,6372,30.540793,-97.790415
555,302,30.305169,-97.6301
556,776,29.855514,-97.945814
557,3798,30.287567,-97.741238
558,6719,30.570244,-97.802456
559,2411,30.194472,-97.830519
560,5101,30.449126,-97.695808
561,6047,30.103904,-97.670422
562,2776,30.278562,-97.74592
563,700,29.890125,-97.944039
564,3636,30.282304,-97.744803
565,4936,30.476115,-97.685819
566,2441,30.199096,-97.793366
567,3683,30.299155,-97.766154
568,5269,30.516475,-97.670822
569,6123,30.485625,-97.806953
570,3774,30.302292,-97.727172
571,786,29.825153,-97.995132
572,3765,30.295841,-97.743612
573,4370,30.354354,-97.68169
574,6674,30.345116,-97.670297
575,2640,30.300892,-97.839075
576,3171,30.273271,-97.747888
577,6291,30.315355,-97.663458
578,2313,30.233736,-97.84074
579,2346,30.23047,-97.87927
580,3069,30.222301,-97.763968
581,3343,30.271477,-97.741096
582,1931,29.896288,-97.915415
583,7055,30.840134,-97.815851
584,4159,30.293525,-97.677438
585,7023,30.654254,-97.683807
586,4830,30.840941,-97.864193
587,3362,30.272631,-97.736834
588,504,30.213238,-97.819622
589,2326,30.236655,-97.842259
590,2480,30.243412,-97.782109
591,5146,30.497507,-97.68132
592,343,30.303114,-97.751664
593,6669,30.47881,-97.541125
594,3529,30.342518,-97.724701
595,1837,29.89864,-97.973549
596,2669,30.323684,-97.794141
597,665,30.52616,-97.553431
598,4499,30.358734,-97.60582
599,6199,30.37193,-97.785878
600,1798,30.300641,-97.775754
601,2208,30.218164,-97.894051
602,59,30.25396,-97.895281
603,3335,30.267456,-97.745092
604,6960,30.480169,-97.722926
605,2546,30.230122,-97.797975
606,4750,30.494247,-97.81086
607,3183,30.229603,-97.730613
608,4422,30.348228,-97.711238
609,7321,30.151669,-97.586275
610,2505,30.234639,-97.824175
611,513,30.201568,-97.781077
612,7306,30.265596,-97.743288
613,7360,30.638409,-97.56754
614,7110,30.535213,-97.779875
615,4698,30.46944,-97.789702
616,7033,30.470736,-97.801081
617,5084,30.41504,-97.688076
618,4585,30.733725,-97.794622
619,6848,30.493739,-97.584262
620,3042,30.245383,-97.735998
621,1835,30.09644,-97.930063
622,2298,30.227366,-97.831071
623,4182,30.308319,-97.670495
624,1295,30.246378,-98.043262
625,3522,30.34258,-97.762639
626,5218,30.512159,-97.687732
627,4482,30.182514,-97.540951
628,356,30.291274,-97.745937
629,1348,30.03475,-98.118658
630,6505,30.203259,-97.638821
631,5023,30.481788,-97.740518
632,1844,29.888059,-97.942108
633,5435,30.643892,-97.600963
634,5937,30.642342,-97.629082
635,3539,30.363776,-97.713526
636,4628,30.557239,-97.945845
637,7293,30.34765,-97.712183
638,1946,29.94924,-97.87881
639,1641,29.883692,-97.935194
640,3243,30.261136,-97.737225
641,4777,30.630726,-97.904345
642,2110,30.027821,-97.874967
643,1659,29.88305,-97.939784
644,5642,30.531828,-97.446217
645,4726,30.465814,-97.801656
646,5513,30.700435,-97.666085
647,5680,30.520829,-97.44849
648,3132,30.260728,-97.748355
649,1013,30.559709,-97.615336
650,1041,30.502098,-97.831932
651,4670,30.479756,-97.80205
652,1726,30.227437,-97.779343
653,4767,30.479146,-97.80311
654,4184,30.314406,-97.664065
655,2655,30.305178,-97.825485
656,3095,30.225108,-97.768011
657,2312,30.224641,-97.85483
658,483,30.226569,-97.732462
659,4513,30.2983,-97.623014
660,3039,30.247625,-97.733949
661,1675,29.877842,-97.929681
662,1558,29.859917,-97.966063
663,5852,30.486582,-97.803908
664,4250,30.330932,-97.704343
665,5196,30.521396,-97.684411
666,7075,30.654477,-97.858048
667,6036,30.134757,-97.652878
668,1601,29.88122,-97.92453
669,2628,30.298207,-97.802389
670,5712,30.584071,-97.497158
671,392,30.277056,-97.718792
672,3922,30.316155,-97.718167
673,6365,30.513998,-97.754466
674,1284,29.884754,-97.936819
675,1362,30.058932,-98.080648
676,5944,30.558836,-97.6411
677,231,30.370937,-97.748874
